TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
송도마을,자연관광지,어촌,부산광역시 > 서구,"60,673","148,540","9,521","158,061",37.390844,126.6388498,자연
죽산성지(이진터성지),역사관광지,종교성지,경기도 > 안성시,"119,210","157,395",448,"157,843",37.0757975,127.4492709,인문
대구 안지랑시장,쇼핑,상설시장,대구광역시 > 남구,"154,914","157,028",670,"157,698",35.8361867,128.5753633,쇼핑
윤계선생순절비,역사관광지,유적지/사적지,경기도 > 화성시,"376,954","156,485","1,197","157,682",37.2137141,126.8277162,인문
흥국사(고양),역사관광지,사찰,경기도 > 고양시 덕양구,"73,311","156,447",939,"157,385",37.6636889,126.9399149,인문
망리단길,체험관광지,이색거리,서울특별시 > 마포구,"197,943","155,421","1,940","157,361",37.5535231,126.90598,인문
청주 흥덕사지,역사관광지,유적지/사적지,충청북도 > 청주시 흥덕구,"124,996","156,965",332,"157,297",36.6436281,127.472253,인문
부산 가톨릭 특성화 거리,체험관광지,이색거리,부산광역시 > 금정구,"254,891","156,576",622,"157,198",35.244234,129.097873,인문
두도 (부산 국가지질공원),자연관광지,섬,부산광역시 > 서구,"59,098","144,162","13,023","157,184",35.0532528,129.0143116,자연
서산시 청소년문화의집,문화시설,문화원,충청남도 > 서산시,"178,003","156,415",572,"156,987",36.7100482,126.5426464,인문
낙원역사공원,휴양관광지,공원,경기도 > 안성시,"603,103","156,062",822,"156,884",37.005065,127.2731566,인문
인천 옥련시장,쇼핑,상설시장,인천광역시 > 연수구,"440,577","155,677","1,134","156,811",37.422765,126.6454221,쇼핑
부산 스마트시티 전시관,문화시설,전시관,부산광역시 > 해운대구,"141,698","152,548","4,153","156,701",35.1561824,129.063288,인문
한담해변,자연관광지,해수욕장,제주특별자치도 > 제주시,"44,279","148,565","7,992","156,556",33.461609,126.3105212,자연
처인성,역사관광지,유적지/사적지,경기도 > 용인시 처인구,"211,740","156,118",426,"156,543",37.1475933,127.1685718,인문
천서리 막국수촌,체험관광지,이색거리,경기도 > 여주시,"65,933","156,233",215,"156,448",37.4026231,127.5463762,인문
수원박물관,문화시설,박물관,경기도 > 수원시 영통구,"59,374","156,030",302,"156,332",37.2975409,127.0358603,인문
대금산(거제),자연관광지,산,경상남도 > 거제시,"257,978","155,243","1,068","156,311",34.9494444,128.6991667,자연
인천 강남시장,쇼핑,상설시장,인천광역시 > 서구,"330,544","155,852",376,"156,227",37.5123971,126.6712788,쇼핑
옥정호 구절초테마공원,휴양관광지,테마공원,전라북도 > 정읍시,"23,653","155,911",43,"155,954",35.5533905,127.0179672,인문
증평 장이익어가는마을,체험관광지,농.산.어촌 체험,충청북도 > 증평군,"282,258","155,414",247,"155,661",36.8000819,127.5783338,인문
공주 정지산 유적,역사관광지,유적지/사적지,충청남도 > 공주시,"94,626","154,984",584,"155,567",36.4695873,127.1176807,인문
국립서울현충원,역사관광지,유적지/사적지,서울특별시 > 동작구,"82,803","154,980",569,"155,549",37.5035454,126.9755166,인문
죽전야외음악당,문화시설,공연장,경기도 > 용인시 수지구,"215,121","155,071",465,"155,536",37.3254323,127.1264818,인문
마금산,자연관광지,산,경상남도 > 창원시 의창구,"163,237","155,274",199,"155,473",35.357939,128.609278,자연
성덕암(창원),역사관광지,사찰,경상남도 > 창원시 마산합포구,"271,383","155,089",310,"155,399",35.207292,128.5707158,인문
경포솔향온천,휴양관광지,온천/욕장/스파,강원도 > 강릉시,"75,128","154,357",926,"155,283",37.7913889,128.92,인문
한림공원,휴양관광지,공원,제주특별자치도 > 제주시,"35,662","151,893","3,295","155,188",33.3895279,126.2392884,인문
협재해변,자연관광지,해수욕장,제주특별자치도 > 제주시,"35,662","151,893","3,295","155,188",33.3941325,126.239728,자연
동학사계곡,자연관광지,계곡,충청남도 > 공주시,"12,317","154,385",803,"155,188",36.352881,127.2208684,자연
과천향교,역사관광지,유적지/사적지,경기도 > 과천시,"229,628","154,861",248,"155,109",37.4336623,126.9876946,인문
유성온천,휴양관광지,온천/욕장/스파,대전광역시 > 유성구,"161,756","153,993","1,036","155,029",36.3560095,127.3415541,인문
신선대(부산),자연관광지,해안절경,부산광역시 > 남구,"152,320","149,275","5,513","154,788",35.1094524,129.0978349,자연
백련사(서울),역사관광지,사찰,서울특별시 > 서대문구,"195,650","151,032","3,619","154,651",37.5861148,126.927335,인문
몰운대 (부산 국가지질공원),자연관광지,해수욕장,부산광역시 > 사하구,"181,104","152,593","2,047","154,640",35.0387815,128.968995,자연
마라도잠수함,휴양관광지,유람선/잠수함관광,제주특별자치도 > 서귀포시,"48,853","149,156","5,209","154,365",33.2280959,126.3055263,인문
부평도호부청사,역사관광지,유적지/사적지,인천광역시 > 계양구,"265,566","154,088",228,"154,316",37.5422832,126.7236895,인문
리치플러스 스파,휴양관광지,온천/욕장/스파,경기도 > 남양주시,"516,327","153,783",438,"154,221",37.6502685,127.2432251,인문
진해문화원,문화시설,문화원,경상남도 > 창원시 진해구,"347,946","152,985","1,111","154,096",35.149606,128.6605422,인문
종현어촌체험마을,체험관광지,농.산.어촌 체험,경기도 > 안산시 단원구,"30,300","153,899",141,"154,039",37.2804511,126.5476028,인문
서산 해미읍성,역사관광지,성,충청남도 > 서산시,"171,815","153,416",569,"153,984",36.7125761,126.5486189,인문
서산해미읍성회화나무,관광자원,희귀동.식물,충청남도 > 서산시,"171,815","153,416",569,"153,984",36.7121201,126.5483803,자연
월계동 장고분,역사관광지,유적지/사적지,광주광역시 > 광산구,"265,605","153,713",168,"153,881",35.2135664,126.842572,인문
대포서원(김포),역사관광지,유적지/사적지,경기도 > 김포시,"160,363","152,782",865,"153,647",37.615284,126.624529,인문
갈마못(갈뫼못),자연관광지,자연생태관광지,제주특별자치도 > 서귀포시,"29,278","125,752","27,893","153,645",36.4279567,126.5075501,자연
남제주 억새오름길,자연관광지,자연생태관광지,제주특별자치도 > 서귀포시,"36,085","148,386","5,134","153,520",33.2541205,126.560076,자연
능골공원,휴양관광지,공원,경기도 > 성남시 분당구,"361,249","153,059",451,"153,510",37.3703113,127.116656,인문
첨두서원,역사관광지,유적지/사적지,경상남도 > 창원시 의창구,"420,214","153,213",153,"153,366",353231807,128.492895,인문
소요산국민관광지,자연관광지,산,경기도 > 동두천시,"95,365","153,017",307,"153,324",37.7913541,127.5255418,자연
안산시행복예절관,체험관광지,전통체험,경기도 > 안산시 단원구,"267,400","152,866",399,"153,265",37.3322513,126.8317647,인문
아암도해안공원,휴양관광지,공원,인천광역시 > 연수구,"270,690","151,246","1,951","153,197",37.4121033,126.6416178,인문
대관령 양떼목장,체험관광지,이색체험,강원도 > 평창군,"41,825","152,184",995,"153,178",37.6895149,128.7530132,인문
일산 어린이천문대,자연관광지,자연생태관광지,경기도 > 고양시 일산동구,"140,497","152,849",250,"153,099",37.700098,126.791095,자연
대구 평화시장 닭똥집 골목,체험관광지,이색거리,대구광역시 > 동구,"295,225","151,547","1,533","153,080",35.88284,128.621413,인문
조양문,역사관광지,문,충청남도 > 홍성군,"425,103","152,716",262,"152,978",36.6021189,126.6636376,인문
임시수도기념관,문화시설,기념관,부산광역시 > 서구,"134,509","151,298","1,653","152,951",35.1035347,129.0173713,인문
우도농악전수관,문화시설,문화전수시설,전라남도 > 영광군,"397,810","152,345",588,"152,933",33.5042977,126.954048,인문
다산유적지(남양주),역사관광지,유적지/사적지,경기도 > 남양주시,"26,194","152,488",343,"152,831",37.5164912,127.2992452,인문
